"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.internalpha.com/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.136","","https://internalpha.com/","HTTP Redirect","","1.1","https://www.internalpha.com/","2024-07-30 22:27:09"
"https://internalpha.com/","text/html; charset=UTF-8","200","OK","Indexable","","internalpha.com","15","145","","0","0","","0","","0","Transform your online presence with our top-tier Software Development and Digital Marketing services.","101","We are Intern Alpha!","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://internalpha.com/","","","","","","147630","26744","442","75","5.893","46.965","Hard","2.315","1","0","","49","8","0","100.000","26","8","0","0","0","0","","","","","cb35e372c7c8f8632c7fd6f7a053160","0.165","","","","","1.1","https://internalpha.com/","2024-07-30 22:27:09"
"https://internalpha.com/wp-content/uploads/2024/05/cropped-intern-alpha.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","25480","25480","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.028","Wed, 08 May 2024 12:53:35 GMT","","","","1.1","https://internalpha.com/wp-content/uploads/2024/05/cropped-intern-alpha.png","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/uploads/2023/11/sass-150x150.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","8425","8425","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.096","Wed, 08 Nov 2023 12:19:03 GMT","","","","1.1","https://internalpha.com/wp-content/uploads/2023/11/sass-150x150.png","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2984","2984","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.096","Wed, 08 May 2024 12:47:45 GMT","","","","1.1","https://internalpha.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.8.3.1","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","384","384","0","","","","","0.000","2","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.098","Tue, 07 May 2024 07:16:10 GMT","","","","1.1","https://internalpha.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.8.3.1","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","8070","8070","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.100","Tue, 07 May 2024 07:15:49 GMT","","","","1.1","https://internalpha.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/uploads/2023/11/react.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","5715","5715","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.094","Wed, 08 Nov 2023 12:19:06 GMT","","","","1.1","https://internalpha.com/wp-content/uploads/2023/11/react.png","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.8.0","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3519","3519","0","","","","","0.000","2","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.095","Tue, 07 May 2024 07:16:48 GMT","","","","1.1","https://internalpha.com/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.8.0","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/plugins/mystickymenu/js/morphext/morphext.min.js?ver=2.6.4","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","610","610","0","","","","","0.000","2","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.096","Tue, 07 May 2024 07:16:31 GMT","","","","1.1","https://internalpha.com/wp-content/plugins/mystickymenu/js/morphext/morphext.min.js?ver=2.6.4","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/uploads/elementor/css/global.css?ver=1715066238","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","7122","7122","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.102","Tue, 07 May 2024 07:17:18 GMT","","","","1.1","https://internalpha.com/wp-content/uploads/elementor/css/global.css?ver=1715066238","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.21.5","application/x-javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","12123","12123","0","","","","","0.000","2","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.103","Wed, 08 May 2024 12:47:45 GMT","","","","1.1","https://internalpha.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.21.5","2024-07-30 22:27:10"
"https://internalpha.com/wp-content/uploads/2023/11/8546808_bootstrap_icon-150x150.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2461","2461","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.112","Wed, 08 Nov 2023 12:19:07 GMT","","","","1.1","https://internalpha.com/wp-content/uploads/2023/11/8546808_bootstrap_icon-150x150.png","2024-07-30 22:27:10"
